playerID, gamertag, servicetag, first_active, last_active, gameID, game_var_name, game_var_class, game_time, isteam, standing, score, teamstanding, kills, deaths, assists, betrayals, suicides, avg_kill_dist, killed_most_cnt, killed_by_most, killed_by_most_cnt, tot_med_cnt, uniq_tot_med_cnt, sty_med_cnt, uniq_sty_med_cnt, mult_med_cnt, oth_med_cnt
2,INGLE22,H77,/Date(1285195380000-0700)/,/Date(1288756980000-0700)/,291338644,Slayer,3,/Date(1288756992000-0700)/,True,0,12,,12,12,3,0,0,11.4278212,4,Lugy21,6,19,8,14,6,0,5
7,toonub2die,BLRG,/Date(1284558600000-0700)/,/Date(1288759680000-0700)/,291338644,Slayer,3,/Date(1288756992000-0700)/,True,1,8,,8,12,2,0,0,15.5213585,3,Arrow of Doubt,7,7,5,6,4,0,1
5,likemyG6,OP,/Date(1286255820000-0700)/,/Date(1288766640000-0700)/,291338644,Slayer,3,/Date(1288756992000-0700)/,True,1,10,,10,13,2,0,0,9.739292,3,FearfulSpoon,5,4,3,3,2,0,1
4,Lugy21,L21,/Date(1288307520000-0700)/,/Date(1288773240000-0700)/,291338644,Slayer,3,/Date(1288756992000-0700)/,True,1,17,,17,12,2,0,0,21.0432224,6,INGLE22,4,15,8,11,4,1,3
6,jdw44454,JW45,/Date(1285306740000-0700)/,/Date(1288776660000-0700)/,291338644,Slayer,3,/Date(1288756992000-0700)/,True,1,13,,13,13,4,0,0,10.1547394,4,INGLE22,4,16,9,9,4,2,5
0,Arrow of Doubt,ARRW,/Date(1284516360000-0700)/,/Date(1288761600000-0700)/,291303845,Elite Slayer,3,/Date(1288755961000-0700)/,True,0,8,,8,11,2,0,0,16.4530449,3,SuburbanJunk,7,20,8,17,6,0,3
1,FearfulSpoon,L33,/Date(1285195260000-0700)/,/Date(1288761600000-0700)/,291303845,Elite Slayer,3,/Date(1288755961000-0700)/,True,0,17,,17,13,2,0,0,14.0972376,7,J Teezy12,5,30,11,24,7,3,3
5,BlocksSword,AB33,/Date(1284438720000-0700)/,/Date(1288764120000-0700)/,291303845,Elite Slayer,3,/Date(1288755961000-0700)/,True,0,9,,9,8,1,0,0,20.26356,4,J Teezy12,5,11,8,8,6,0,3
2,INGLE22,H77,/Date(1285195380000-0700)/,/Date(1288756980000-0700)/,291303845,Elite Slayer,3,/Date(1288755961000-0700)/,True,0,16,,17,12,5,1,0,9.039333,7,Marcopolos,5,33,13,24,8,1,8
7,SuburbanJunk,M0A8,/Date(1284516720000-0700)/,/Date(1288758000000-0700)/,291303845,Elite Slayer,3,/Date(1288755961000-0700)/,True,1,13,,13,12,1,0,0,11.7989626,7,FearfulSpoon,4,13,6,9,5,0,4
